gfem_front_base_x,gfem_front_base_y,gfem_front_base_z,gfem_rear_base_x,gfem_rear_base_y,gfem_rear_base_z,gfem_front_deform_x,gfem_front_deform_y,gfem_front_deform_z,gfem_rear_deform_x,gfem_rear_deform_y,gfem_rear_deform_z,dfem_front_base_x,dfem_front_base_y,dfem_front_base_z,dfem_rear_base_x,dfem_rear_base_y,dfem_rear_base_z,dfem_front_deform_x,dfem_front_deform_y,dfem_front_deform_z,dfem_rear_deform_x,dfem_rear_deform_y,dfem_rear_deform_z
42203.72155,-21984.83307,923.7937234,43202.4206,-21397.84706,895.4665778,42198.47582,-21983.27964,933.821867,43203.73927,-21393.08261,899.966768,42947.27637,-23175.78267,1007.353868,43828.45098,-22656.79373,997.4863897,42946.88179,-23174.46529,1020.7077,43827.79811,-22654.94982,1015.6196
42179.42785,-21943.63478,921.2000755,43180.20259,-21355.42144,892.8614449,42174.20328,-21942.13956,930.6049215,43181.63834,-21350.65607,896.8243607,42922.00308,-23132.78345,1003.926691,43805.32492,-22612.53469,993.9821689,42921.58304,-23131.49669,1016.8692,43804.70535,-22610.70027,1011.5155
42155.13386,-21902.43601,918.6167068,43157.98408,-21312.9947,890.2693368,42149.93067,-21900.99935,927.3900297,43159.53739,-21308.22949,893.6827869,42932.1124,-23149.98332,1005.297327,43814.57542,-22630.23839,995.3822766,42931.68252,-23148.68409,1018.4069,43814.0024,-22628.38026,1013.1552
42130.83959,-21861.23676,916.0435755,43135.76494,-21270.56662,887.6900989,42125.658,-21859.85904,924.1771447,43137.43642,-21265.80285,890.542188,42927.05774,-23141.38343,1004.611969,43809.95017,-22621.38655,994.6819618,42926.68277,-23140.09039,1017.6331,43809.30387,-22619.59031,1012.3353
42106.54505,-21820.03704,913.4806392,43113.54507,-21228.13701,885.12358,42101.38525,-21818.7186,920.9662002,43115.3354,-21223.37614,887.402941,42942.22176,-23167.18302,1006.668286,43823.82585,-22647.94196,996.7844852,42941.78203,-23165.87155,1019.9442,43823.19951,-22646.06,1014.7973
42082.25023,-21778.83686,910.9278552,43091.32513,-21185.70715,882.5697171,42077.11244,-21777.57806,917.7571156,43093.2343,-21180.94928,884.2661758,42937.16707,-23158.58319,1005.982768,43819.20066,-22639.09018,996.0831156,42936.78227,-23157.27782,1019.1706,43818.60094,-22637.27018,1013.9762
42057.95514,-21737.63621,908.38518,43069.10539,-21143.27752,880.0283964,42052.83957,-21736.43742,914.5497932,43071.13307,-21138.52216,881.1338818,42906.83918,-23106.98329,1001.871381,43791.44907,-22585.97891,991.8858947,42906.38392,-23105.71567,1014.5571,43790.8105,-22584.22941,1009.0588
42033.65977,-21696.4351,905.8525696,43046.8857,-21100.84788,877.4994613,42028.56664,-21695.29667,911.3441233,43049.03168,-21096.09471,878.0071214,42901.78458,-23098.3832,1001.186458,43786.82375,-22577.12693,991.1881627,42901.38424,-23097.12201,1013.793,43786.21241,-22575.33921,1008.24
42009.36414,-21655.23354,903.3299795,43024.66596,-21058.41799,874.9827549,42004.29366,-21654.15584,908.1399863,43026.93008,-21053.6669,874.8867932,42916.94843,-23124.18345,1003.241499,43800.69965,-22603.68279,993.2828951,42916.48332,-23122.90301,1016.0952,43800.10703,-22601.91005,1010.6965
41985.06824,-21614.03152,900.8173647,43002.44602,-21015.9876,872.4781206,41980.02063,-21613.01493,904.937255,43004.82828,-21011.23867,871.7735397,42911.89379,-23115.58337,1002.556395,43796.07437,-22594.83087,992.5841381,42911.48361,-23114.30934,1015.3312,43795.50872,-22593.01985,1009.8774
